model,mae,rmse,mape,wape,mase
sarima,432.2402183373288,482.39038940204915,5.784980875672896,5.756563976235996,0.8031290250016168
ets,433.5970895828623,490.3157390895572,5.808800843159048,5.778759216901675,0.8055921946293182
seasonal_naive,1062.5,1113.312506275986,14.143067732598352,14.116275933960464,1.971049584075031
